#{"t_start": 1679047616.014276, "env_id": null}
r,l,t
260.55723,100,26.189524
121.852444,100,26.207819
122.645847,100,26.617658
121.863018,100,26.634857
260.505347,100,26.651672
121.612461,100,26.669749
161.648982,100,26.686253
122.860832,100,26.702868
260.39562,100,26.719205
121.81398,100,26.73568
121.67064,100,26.752148
260.52219,100,26.770196
122.61372,100,26.787903
121.522874,100,26.805303
260.55431,100,26.822464
260.43558,100,26.840032
260.493234,100,26.857001
161.676204,100,26.873637
121.943071,100,26.890378
121.661649,100,26.90717
260.452135,100,26.923611
161.688574,100,26.941949
161.671223,100,27.348239
122.100534,100,27.365138
122.499824,100,27.381922
161.692442,100,27.398504
161.62701,100,27.415258
121.976508,100,27.432465
122.292546,100,27.449659
260.540382,100,27.466546
260.48054,100,27.483128
122.004479,100,27.501778
161.806705,100,27.518441
121.903167,100,27.535093
122.678472,100,27.551915
260.45869,100,27.568512
122.713915,100,27.585373
260.503672,100,27.601844
121.882891,100,27.618462
121.906303,100,27.635269
122.717967,100,27.652129
161.739612,100,27.670355
123.015692,100,27.687289
122.503811,100,28.092008
161.39356,100,28.109037
121.730415,100,28.125922
122.942859,100,28.142724
260.504716,100,28.159102
123.183755,100,28.176452
122.5238,100,28.194454
161.627296,100,28.212368
260.495863,100,28.232053
123.552513,100,28.249689
121.722855,100,28.266481
121.811215,100,28.284662
161.716993,100,28.301283
121.879555,100,28.319125
161.782485,100,28.336547
121.966506,100,28.353324
122.159997,100,28.369714
260.46632,100,28.386127
123.065348,100,28.405173
161.772563,100,28.421761
121.791065,100,28.827592
161.682983,100,28.845268
260.511574,100,28.861658
121.821726,100,28.878208
260.518175,100,28.894935
161.746734,100,28.911672
121.83703,100,28.928369
161.726988,100,28.945666
161.784348,100,28.964825
161.665128,100,28.981612
161.648592,100,28.998042
161.766258,100,29.014656
122.81936,100,29.031533
161.616602,100,29.04799
260.559233,100,29.064315
260.447931,100,29.081001
121.872706,100,29.098883
122.472787,100,29.116048
122.897565,100,29.134851
260.545778,100,29.152643
122.751433,100,29.564884
121.831135,100,29.582252
123.482946,100,29.599627
161.770833,100,29.617099
161.757962,100,29.634475
260.400618,100,29.65182
161.703722,100,29.668671
121.709565,100,29.685576
161.640134,100,29.704296
121.881604,100,29.721468
161.676941,100,29.739625
161.780782,100,29.75706
121.697545,100,29.774417
121.906179,100,29.791385
123.080102,100,29.808776
123.051137,100,29.825958
260.432383,100,29.843214
260.542715,100,29.85967
260.533929,100,29.878538
260.4421,100,29.895313
121.926721,100,29.912121
121.979724,100,30.317893
121.927456,100,30.334449
123.370166,100,30.351397
161.815022,100,30.369631
121.978271,100,30.386258
121.568574,100,30.402903
123.022618,100,30.419691
121.999183,100,30.438033
121.89339,100,30.456003
161.798742,100,30.473411
123.416736,100,30.490156
161.785824,100,30.506816
260.55659,100,30.523278
