#{"t_start": 1679129678.333805, "env_id": null}
r,l,t
808.961288,500,766.699584
808.946842,500,767.094852
1302.773201,500,767.567489
1302.780091,500,768.074537
808.952542,500,776.981938
609.439744,500,777.534466
609.406552,500,778.335281
809.016057,500,779.132814
809.022646,500,791.169362
609.438047,500,791.661144
617.062161,500,792.172874
1302.779367,500,792.70271
808.957992,500,803.219879
609.477891,500,803.756386
609.36356,500,804.275568
1302.782032,500,804.838596
1302.786408,500,815.471109
808.907582,500,815.897582
808.988321,500,816.340316
1302.775031,500,816.785759
617.85072,500,827.88917
1302.77195,500,828.446603
609.797198,500,829.125673
609.785039,500,829.716182
1302.761569,500,830.319287
119.373952,101,841.364469
609.805708,500,841.958712
1302.782059,500,842.551046
619.138028,500,843.181361
808.989921,500,855.670711
591.003568,482,856.314601
619.185608,500,856.916958
619.151361,500,857.574069
609.77193,500,858.125603
808.921459,500,871.2034
509.599432,416,871.514788
609.894634,500,871.901447
808.915449,500,872.271893
618.291618,500,873.570117
808.90243,500,873.943886
618.491535,500,874.463216
1302.766639,500,874.884231
609.937273,500,876.13054
610.042657,500,876.463651
617.71072,500,876.796156
610.10892,500,877.118345
808.767456,500,878.214356
617.568369,500,878.512899
1302.77402,500,878.818549
617.648283,500,879.105155
609.821297,500,880.192796
808.871415,500,880.481795
609.732342,500,880.766975
609.796205,500,881.045275
609.838697,500,882.015243
618.407174,500,882.289855
1302.758079,500,882.580937
1302.772096,500,882.853694
808.872089,500,883.796335
618.708119,500,884.078439
808.944868,500,884.354942
618.577492,500,884.621247
609.99543,500,885.596762
1090.320118,421,885.847097
1302.764369,500,886.121578
356.267093,292,886.271281
610.025378,500,886.53831
1302.778241,500,887.62488
1302.770062,500,887.989863
808.861964,500,888.258205
1302.767931,500,888.526062
808.871741,500,889.910547
610.011386,500,890.246424
808.834588,500,890.546987
1302.773494,500,890.838837
98.426904,84,890.889465
238.558871,197,891.003752
1302.764965,500,892.408065
618.448825,500,892.712159
618.733258,500,893.03467
610.091985,500,893.357934
610.07728,500,894.530132
610.148473,500,894.840473
1302.735882,500,895.145058
1302.749222,500,895.454023
610.14271,500,896.521021
610.207035,500,896.838076
617.767147,500,897.140701
610.190986,500,897.456329
617.50526,500,898.750743
617.317361,500,899.060848
1302.697162,500,899.365813
808.506273,500,899.675515
808.585663,500,900.768759
808.547964,500,901.089707
1302.743657,500,901.407194
617.559719,500,901.755403
610.241209,500,902.933158
808.593028,500,903.228111
610.226582,500,903.516901
610.220986,500,903.822339
610.236356,500,904.914141
808.559477,500,905.211111
610.194577,500,905.510622
1302.730758,500,905.824206
1302.724813,500,907.014614
1302.742118,500,907.314163
352.319207,293,907.484138
618.15732,500,907.78745
808.618166,500,908.092102
808.523428,500,909.30121
142.450847,121,909.385606
86.312429,75,909.434721
808.513964,500,909.760637
617.791075,500,910.061417
808.559444,500,910.359279
610.238444,500,911.577663
808.58961,500,911.877879
808.583895,500,912.175622
610.232361,500,912.475168
1302.735137,500,913.550955
808.623956,500,913.840448
1302.731443,500,914.132525
618.05567,500,914.427342
1302.74527,500,915.517557
808.643067,500,915.805229
1302.741096,500,916.108157
610.151418,500,916.460772
1302.733458,500,917.52347
808.821841,500,917.841243
618.778533,500,918.158069
1302.755474,500,918.471713
610.157119,500,919.568978
610.121993,500,919.866111
610.162537,500,920.163732
618.77368,500,920.483581
1302.772592,500,921.665417
808.781168,500,921.952191
610.099092,500,922.238425
610.042882,500,922.520141
258.157874,213,922.640385
72.693046,63,922.676482
618.812866,500,923.642629
808.803123,500,923.917585
610.04637,500,924.193573
1302.777613,500,924.478545
610.091646,500,925.44475
618.472311,500,925.714003
808.732515,500,925.979703
1302.761844,500,926.243472
808.729581,500,927.163406
1302.756274,500,927.427962
808.736182,500,927.682868
617.85047,500,927.94135
617.514135,500,928.880185
808.649043,500,929.142617
610.174641,500,929.395955
808.635494,500,929.655428
610.128189,500,930.577607
617.180131,500,930.843565
1302.772419,500,931.10323
617.459981,500,931.358831
808.633276,500,932.26685
1302.787348,500,932.526614
610.076949,500,932.780071
1302.778465,500,933.0447
617.347502,500,933.956768
610.005937,500,934.219368
808.675435,500,934.472936
617.424504,500,934.72359
808.695164,500,935.616091
1302.782705,500,935.869827
808.793739,500,936.121135
1302.782806,500,936.377039
1302.781844,500,937.297381
1302.783902,500,937.54446
617.65581,500,937.782527
1302.7734,500,938.024799
616.942958,500,938.92473
1302.78063,500,939.174327
617.892444,500,939.418168
808.743755,500,939.664608
617.237237,500,939.906683
617.956148,500,940.858418
617.657273,500,941.097328
1302.779896,500,941.338828
1302.787528,500,941.580756
617.808114,500,942.529424
610.18024,500,942.77177
610.221828,500,943.016648
617.316073,500,943.253908
610.170502,500,944.163595
808.622175,500,944.420679
610.18658,500,944.713894
1302.775629,500,944.953438
312.08004,260,945.745148
1302.746814,500,945.995709
72.738988,63,946.027501
619.202268,500,946.279487
1302.752722,500,946.539913
1302.757925,500,947.474087
1302.756523,500,947.736767
315.082477,259,947.869392
619.312495,500,948.121838
276.691876,231,948.241243
808.705699,500,949.109312
1302.755874,500,949.359241
619.1049,500,949.608787
619.228917,500,949.864065
1302.767522,500,950.111159
618.551022,500,950.982018
618.6203,500,951.227158
618.658257,500,951.479052
808.71002,500,951.722043
1302.728051,500,952.627357
618.866722,500,952.867267
618.694762,500,953.110224
808.610921,500,953.347693
135.068636,115,954.041728
618.764763,500,954.279608
618.156823,500,954.51226
617.858526,500,954.760221
808.474563,500,955.006488
81.428028,71,955.698759
165.579748,140,955.774397
617.680968,500,956.008642
618.141622,500,956.240485
808.602114,500,956.474394
610.217406,500,957.340766
610.19694,500,957.57174
1302.761828,500,957.808721
808.620573,500,958.037748
617.750105,500,958.939862
618.252847,500,959.17266
535.450869,443,959.389462
617.538587,500,959.620371
1302.743067,500,959.864075
1302.762467,500,960.811878
618.190456,500,961.057763
808.608645,500,961.317382
617.616676,500,961.593925
1302.748418,500,962.522509
1302.741583,500,962.763338
1302.759758,500,962.999101
618.300227,500,963.234997
808.663529,500,964.124332
618.201563,500,964.361355
1302.732764,500,964.595401
1302.722728,500,964.832931
618.19402,500,965.730416
